,Alpha,Delta,Beta,Gamma,Label,channel
145,(3.6852514923257346e-09+0j),(1.2318290094037678e-07+0j),(1.1149530601489274e-09+0j),(1.5212105223522044e-10+0j),Non_ADHD,F
146,(1.3040425753357755e-08+0j),(5.991020416572615e-09+0j),(8.106773181459512e-09+0j),(9.359845653835672e-10+0j),Non_ADHD,G
147,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),Non_ADHD,A
148,(1.9035494379778905e-08+0j),(8.839208749072854e-08+0j),(8.909335500028807e-09+0j),(3.259062353607602e-10+0j),Non_ADHD,B
149,(1.103940518940607e-08+0j),(2.0404627078432958e-08+0j),(6.2965566607948974e-09+0j),(2.0884034933077726e-10+0j),Non_ADHD,C
150,(1.108799317415138e-08+0j),(3.930446837026337e-08+0j),(1.183012702423081e-08+0j),(1.261700334607794e-09+0j),Non_ADHD,D
151,(4.416488845879002e-09+0j),(3.5385983042199653e-09+0j),(3.174963956965538e-09+0j),(1.942529673587103e-10+0j),Non_ADHD,E
152,(3.6852514923257346e-09+0j),(1.2318290094037678e-07+0j),(1.1149530601489274e-09+0j),(1.5212105223522044e-10+0j),Non_ADHD,F
153,(1.3040425753357755e-08+0j),(5.991020416572615e-09+0j),(8.106773181459512e-09+0j),(9.359845653835672e-10+0j),Non_ADHD,G
154,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),Non_ADHD,A
155,(1.9035494379778905e-08+0j),(8.839208749072854e-08+0j),(8.909335500028807e-09+0j),(3.259062353607602e-10+0j),Non_ADHD,B
156,(1.103940518940607e-08+0j),(2.0404627078432958e-08+0j),(6.2965566607948974e-09+0j),(2.0884034933077726e-10+0j),Non_ADHD,C
157,(1.108799317415138e-08+0j),(3.930446837026337e-08+0j),(1.183012702423081e-08+0j),(1.261700334607794e-09+0j),Non_ADHD,D
158,(4.416488845879002e-09+0j),(3.5385983042199653e-09+0j),(3.174963956965538e-09+0j),(1.942529673587103e-10+0j),Non_ADHD,E
159,(3.6852514923257346e-09+0j),(1.2318290094037678e-07+0j),(1.1149530601489274e-09+0j),(1.5212105223522044e-10+0j),Non_ADHD,F
160,(1.3040425753357755e-08+0j),(5.991020416572615e-09+0j),(8.106773181459512e-09+0j),(9.359845653835672e-10+0j),Non_ADHD,G
161,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),Non_ADHD,A
162,(1.9035494379778905e-08+0j),(8.839208749072854e-08+0j),(8.909335500028807e-09+0j),(3.259062353607602e-10+0j),Non_ADHD,B
163,(1.103940518940607e-08+0j),(2.0404627078432958e-08+0j),(6.2965566607948974e-09+0j),(2.0884034933077726e-10+0j),Non_ADHD,C
164,(1.108799317415138e-08+0j),(3.930446837026337e-08+0j),(1.183012702423081e-08+0j),(1.261700334607794e-09+0j),Non_ADHD,D
165,(4.416488845879002e-09+0j),(3.5385983042199653e-09+0j),(3.174963956965538e-09+0j),(1.942529673587103e-10+0j),Non_ADHD,E
166,(3.6852514923257346e-09+0j),(1.2318290094037678e-07+0j),(1.1149530601489274e-09+0j),(1.5212105223522044e-10+0j),Non_ADHD,F
167,(1.3040425753357755e-08+0j),(5.991020416572615e-09+0j),(8.106773181459512e-09+0j),(9.359845653835672e-10+0j),Non_ADHD,G
168,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),Non_ADHD,A
169,(1.9035494379778905e-08+0j),(8.839208749072854e-08+0j),(8.909335500028807e-09+0j),(3.259062353607602e-10+0j),Non_ADHD,B
170,(1.103940518940607e-08+0j),(2.0404627078432958e-08+0j),(6.2965566607948974e-09+0j),(2.0884034933077726e-10+0j),Non_ADHD,C
171,(1.108799317415138e-08+0j),(3.930446837026337e-08+0j),(1.183012702423081e-08+0j),(1.261700334607794e-09+0j),Non_ADHD,D
172,(4.416488845879002e-09+0j),(3.5385983042199653e-09+0j),(3.174963956965538e-09+0j),(1.942529673587103e-10+0j),Non_ADHD,E
173,(3.6852514923257346e-09+0j),(1.2318290094037678e-07+0j),(1.1149530601489274e-09+0j),(1.5212105223522044e-10+0j),Non_ADHD,F
174,(1.3040425753357755e-08+0j),(5.991020416572615e-09+0j),(8.106773181459512e-09+0j),(9.359845653835672e-10+0j),Non_ADHD,G
175,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),Non_ADHD,A
176,(1.9035494379778905e-08+0j),(8.839208749072854e-08+0j),(8.909335500028807e-09+0j),(3.259062353607602e-10+0j),Non_ADHD,B
177,(1.103940518940607e-08+0j),(2.0404627078432958e-08+0j),(6.2965566607948974e-09+0j),(2.0884034933077726e-10+0j),Non_ADHD,C
